Generations,Unnamed: 0.1,Intertwine_two,Add_vertex,Delete_vertex,Invert_path_vertices,Insert_inside_vertex,Delete_inside_vertex,Replace_inside_vertex,Donate_between_routes,Trim_one_terminal_cb,Grow_one_terminal_cb
67,67.0,0.0986479417089756,0.1006399218323105,0.0721254549261413,0.0803812925110902,0.1191288416271084,0.1050632375315098,0.1016951471250189,0.1023397201600681,0.1052390754584972,0.1147393671192792
68,68.0,0.1021658618144019,0.0980667125308972,0.0741905519291136,0.0779440214245578,0.1174694583307973,0.1051227058179128,0.1067201422605032,0.1007087489620881,0.1048577578423621,0.1127540390873654
69,69.0,0.1010323304518004,0.0984039785803202,0.0744330257810595,0.0757925307229679,0.1127926307635067,0.1027666639888619,0.1080922511227577,0.1031757364781035,0.1043443805099565,0.1191664716006649
70,70.0,0.0987229557789036,0.1003571613966811,0.0737348843291199,0.080126262798634,0.112368492370843,0.0991448974643083,0.1063374654105045,0.1047559026498239,0.1066821070421176,0.1177698707590633
71,71.0,0.0975170030952772,0.0979355579127089,0.0754263472748292,0.0777098498503069,0.1103156958740788,0.1021718862434834,0.1084383776887944,0.1084106003550528,0.1059448296024373,0.1161298521030302
72,72.0,0.095606781646313,0.1012681410942572,0.0746687892854119,0.0751120001872849,0.1067333654150968,0.1026460289832196,0.1076531365408497,0.1087629839815958,0.1070770236469287,0.1204717492190418
73,73.0,0.0922340989790944,0.1010302260374519,0.0752064736020595,0.0721928169598841,0.108633608166973,0.1054774897305063,0.1106823286718071,0.1061822580977,0.1090130939156367,0.1193476058388862
74,74.0,0.0916549337412992,0.1018365326813859,0.0764680017986128,0.0719883723545535,0.1066211663970224,0.1045657805062999,0.1086229092358091,0.1085937114695413,0.1104592529717335,0.1191893388437417
75,75.0,0.0910405234343419,0.1002768373941197,0.0735516052120862,0.0695907801202758,0.1097752803253544,0.1072268553415583,0.1029653393292822,0.1075919119265441,0.1164521423394073,0.1215287245770294
76,76.0,0.0895483277235622,0.1037712435008115,0.0778691258402614,0.0699002210882821,0.1102672682864461,0.1115668186643568,0.1021687413092427,0.1028459276481631,0.1117949891780839,0.1202673367607894
77,77.0,0.0916388721864043,0.1028208984299,0.0778018741874426,0.0704040962793797,0.1084826304154033,0.108137931962258,0.1032434084606784,0.1020791618619244,0.1162175406182455,0.1191735855983631
78,78.0,0.0892974321317201,0.1077940662501955,0.0767714064439107,0.0727873029624751,0.1089516115330638,0.1032477787957493,0.102707647101227,0.1027101433053449,0.1162935748898151,0.1194390365864979
79,79.0,0.0918414698450202,0.1064767832004103,0.0760254812339074,0.0738288202419495,0.1087768881469549,0.1037449655420033,0.1039981372728566,0.101678161466612,0.1147894652873165,0.1188398277629687
80,80.0,0.0952363844105889,0.1031447803245993,0.0732632672036019,0.0762757667365147,0.1075746451318559,0.103593268343089,0.1011825008148307,0.1033472429763963,0.1128522533048932,0.1235298907536297
81,81.0,0.0958407664452928,0.1036449833173202,0.0758105049577883,0.0785764955285881,0.1063263081253894,0.1041779672720649,0.1000544111095184,0.1004896250918774,0.1116992661148062,0.1233796720373538
82,82.0,0.0967386064757589,0.10364518630472,0.0789745862292296,0.0805923510963197,0.1022799743214475,0.1016628969596297,0.0987763046858336,0.1009603627245223,0.1112113431236027,0.1251583880789353
83,83.0,0.0967226850725238,0.1027794694843275,0.0810659663071331,0.0798290043981763,0.0993671627930155,0.1051518978914637,0.1032056310960299,0.1013859035520458,0.108237537113601,0.1222547422916827
84,84.0,0.0948766478778854,0.1040204568727751,0.0795636590309981,0.0808012097601934,0.1033454677561252,0.1047028114582416,0.1071324165739614,0.0992953125272744,0.1031269335963578,0.1231350845461869
85,85.0,0.0996250719911977,0.1023928509902181,0.0772801477881258,0.08037962677549,0.1053673781604118,0.1074574202025842,0.1081944366013938,0.0951598884702168,0.0997419779303351,0.1244012010900261
86,86.0,0.0998248523801334,0.1002496972926578,0.0777381287646961,0.0851574020539156,0.1042284082983781,0.1077635351963344,0.1090688817573281,0.0932987147876051,0.1023755758494949,0.1202948036194557
